X,Y,Z,formation
14668148,4521820.68,-6299.67,fracture
14666653.23,4521823.7,-6314.86,fracture
14668483.25,4521843.15,-6316.84,fracture
14666197.25,4521839.96,-6313.28,fracture
14667056.08,4521843.44,-6296.88,fracture
14668450.17,4521859.24,-6295.9,fracture
14666881.17,4521867.56,-6270.39,fracture
14667239.22,4521898.03,-6275.46,fracture
14668249.17,4521903.28,-6310.28,fracture
14665926.1,4521907.37,-6299.45,fracture
14667071.68,4521904.62,-6274.77,fracture
14668316.5,4521926.84,-6316.46,fracture
14669786.22,4521922.64,-6310.01,fracture
14666758.7,4521919.5,-6278.77,fracture
14666680.3,4521933.39,-6313.04,fracture
14667782.41,4521953.01,-6296.92,fracture
14667800.73,4521953.21,-6326.56,fracture
14669037.74,4521958.74,-6295.66,fracture
14667006.25,4521960.6,-6277.57,fracture
14667396.92,4522006.88,-6282.61,fracture
14669279.25,4521988.27,-6299.63,fracture
14666404.93,4522001.79,-6330.13,fracture
14667047.04,4521993.89,-6266.32,fracture
14668604.89,4522010.66,-6317.8,fracture
14665962.47,4522012.52,-6328.09,fracture
14667569.63,4522038.38,-6318.84,fracture
14667571.93,4522037.48,-6297.24,fracture
14668153.82,4522044.39,-6301.15,fracture
14668263.99,4522047.49,-6297.92,fracture
14669519.16,4522043.95,-6299.14,fracture
14666224.46,4522049.37,-6312.85,fracture
14666649.12,4522046.21,-6307.07,fracture
14667346.27,4522074.46,-6288.77,fracture
14666770.13,4522057.69,-6293.88,fracture
14667167.38,4522071.55,-6268.9,fracture
14667335.82,4522088.02,-6287.22,fracture
14667905.87,4522095.41,-6325.78,fracture
14670057.82,4522094.35,-6302.99,fracture
14666552.16,4522088.79,-6314.05,fracture
14666654.74,4522087.07,-6292.47,fracture
14666992.95,4522089.92,-6286.26,fracture
14668595.71,4522128.89,-6317.99,fracture
14667379.62,4522141.45,-6284.4,fracture
14668889.54,4522138.83,-6294.34,fracture
14666654.37,4522138.63,-6303.44,fracture
14666132.22,4522155.83,-6334.05,fracture
14667479.99,4522169.92,-6300.47,fracture
14667716.66,4522164.31,-6298.63,fracture
14665216.47,4522169.05,-6318.87,fracture
14668136.5,4522184.62,-6325.7,fracture
14667342.96,4522195.91,-6279.11,fracture
14667437,4522201.05,-6286.72,fracture
14667460.56,4522198.75,-6289.85,fracture
14667489.14,4522208.77,-6289.6,fracture
14665370.64,4522197.84,-6304.26,fracture
14668476.94,4522218.11,-6295.24,fracture
14668071.03,4522224.01,-6297.37,fracture
14667136.88,4522218.52,-6272.78,fracture
14667881.16,4522240.21,-6296.8,fracture
14669008.05,4522236.23,-6305.38,fracture
14666891.85,4522231.74,-6298.46,fracture
14666130.13,4522246.44,-6326.59,fracture
14667614.18,4522257.76,-6316.68,fracture
14667137.68,4522243.06,-6274.46,fracture
14667036.35,4522268.32,-6277.87,fracture
14667646.25,4522313.23,-6318.46,fracture
14667689.48,4522309.13,-6297.53,fracture
14668255.38,4522306.39,-6296.96,fracture
14669798.52,4522305.78,-6300.75,fracture
14664956.38,4522306.76,-6323.79,fracture
14667506.34,4522339.64,-6291.27,fracture
14667509.03,4522346.47,-6296.17,fracture
14667247.97,4522330.58,-6280.39,fracture
14667863.02,4522372.92,-6295.13,fracture
14669546.58,4522394.34,-6306.78,fracture
14666019.34,4522412.03,-6313.48,fracture
14667998.05,4522441.38,-6296.15,fracture
14666538.75,4522435.78,-6339.4,fracture
14666864.11,4522428.71,-6300.12,fracture
14666880.55,4522430.83,-6290.21,fracture
14667656.36,4522453.91,-6296.55,fracture
14667648.58,4522455.84,-6295.68,fracture
14667109.07,4522453.32,-6290.99,fracture
14668368.61,4522474,-6315.05,fracture
14668371.55,4522477.65,-6290.12,fracture
14665752.41,4522481.13,-6309.53,fracture
14667269.58,4522478.08,-6286.05,fracture
14667685.21,4522494.24,-6291.01,fracture
14667293.48,4522488,-6312.86,fracture
14668027.86,4522510.09,-6315.4,fracture
14669480.41,4522509.31,-6304.43,fracture
14667567.23,4522536.75,-6290.09,fracture
14667299.63,4522538.17,-6290.14,fracture
14667713.35,4522560.02,-6297.14,fracture
14667514.49,4522574.79,-6307.05,fracture
14667551.68,4522571.44,-6319.67,fracture
14668342.98,4522561.85,-6316.53,fracture
14665701.82,4522578.44,-6328.79,fracture
14668426.11,4522596.72,-6298.75,fracture
14666550.13,4522596.48,-6332.98,fracture
14668323.34,4522604.09,-6305.36,fracture
14665913.22,4522633.92,-6324.33,fracture
14668007.27,4522644.26,-6299.63,fracture
14668347.56,4522655.98,-6300.48,fracture
14667585.83,4522686.02,-6295.25,fracture
14667576.72,4522687.49,-6288.94,fracture
14667599.12,4522692.41,-6317.76,fracture
14669441.63,4522682.22,-6326.66,fracture
14667393.68,4522676.09,-6288.87,fracture
14667096.02,4522687.45,-6293.97,fracture
14667650.47,4522724.48,-6311.63,fracture
14667216.69,4522720.79,-6313.31,fracture
14668757.37,4522734.48,-6319.97,fracture
14665226.38,4522732.64,-6286.48,fracture
14667988.69,4522760.68,-6316.48,fracture
14668462.97,4522756.27,-6287.55,fracture
14667146.64,4522759.02,-6290.59,fracture
14668183.24,4522774.68,-6316.88,fracture
14667206.73,4522774.36,-6304.84,fracture
14668728.16,4522790.79,-6289.32,fracture
14666917.53,4522789.94,-6317.07,fracture
14668336.88,4522803.69,-6306.22,fracture
14666759.3,4522805.15,-6326.64,fracture
14667307.23,4522796.22,-6286.45,fracture
14668250.59,4522825.45,-6311.86,fracture
14667674.45,4522837.53,-6294.73,fracture
14668437.32,4522837.28,-6299.25,fracture
14670406.69,4522828.42,-6302.68,fracture
14666759.34,4522833.57,-6296.52,fracture
14667338.61,4522819.8,-6291.73,fracture
14668499.11,4522840.96,-6301.45,fracture
14667728.83,4522861.69,-6308.43,fracture
14668009.33,4522875.68,-6292.07,fracture
14668174.21,4522874.56,-6305.78,fracture
14668068.83,4522899.62,-6316.4,fracture
14667034.22,4522895.76,-6310.3,fracture
14667796.67,4522921.01,-6309.34,fracture
14668314.18,4522920,-6313.84,fracture
14665417.67,4522909.75,-6309.11,fracture
14666817.38,4522901.79,-6296.42,fracture
14668471.82,4522929.09,-6291.34,fracture
14667906.75,4522933.53,-6305.26,fracture
14670439.83,4522934.46,-6332.47,fracture
14668338.49,4522957.45,-6318.23,fracture
14667046.95,4522952.37,-6314.59,fracture
14665617.03,4522959.06,-6308.73,fracture
14666437.58,4522960.36,-6309.06,fracture
14667922.52,4522981.22,-6311.98,fracture
14668006.13,4522989.71,-6298.91,fracture
14668881.01,4522986.28,-6290.83,fracture
14666619.23,4522980.46,-6306.22,fracture
14666658.38,4522982.63,-6292.14,fracture
14666964.61,4522997.79,-6287.9,fracture
14667868.71,4523021.82,-6303.42,fracture
14666568.67,4523009.09,-6304,fracture
14666741.9,4523009.46,-6310.03,fracture
14667366,4523009.02,-6309.32,fracture
14668300.46,4523031.45,-6318.09,fracture
14668995.12,4523026.49,-6296.74,fracture
14666706.68,4523019.79,-6284.91,fracture
14667363.84,4523020.85,-6300.19,fracture
14667403.25,4523037.27,-6283.97,fracture
14667296.9,4523042.96,-6306.21,fracture
14666975.96,4523060.04,-6284.8,fracture
14666854.12,4523070.03,-6298.55,fracture
14667482.1,4523067.07,-6285.6,fracture
14667774.1,4523090.12,-6304.2,fracture
14667782.15,4523097.05,-6309.21,fracture
14668078.78,4523098.01,-6295.69,fracture
14668086.74,4523103.02,-6297.45,fracture
14668623.42,4523107.22,-6304.88,fracture
14668328.99,4523112.51,-6298.61,fracture
14667216.6,4523129.63,-6282.03,fracture
14667289.45,4523141.73,-6295.79,fracture
14667359.18,4523138.76,-6294.76,fracture
14667110.42,4523145.46,-6309.56,fracture
14667785.64,4523168.77,-6285.5,fracture
14667922.1,4523174.63,-6311.92,fracture
14668610.37,4523168.39,-6292.43,fracture
14668987.24,4523166.65,-6302.59,fracture
14667395.71,4523153.6,-6283.43,fracture
14668550.69,4523180.57,-6297.19,fracture
14668638.82,4523176.93,-6293.19,fracture
14668308.83,4523184.83,-6311.75,fracture
14668197.11,4523191.5,-6293.03,fracture
14669486.95,4523190.4,-6317.91,fracture
14666446.14,4523187.37,-6284.45,fracture
14666707.55,4523196.16,-6278.45,fracture
14667018.65,4523204.95,-6283.13,fracture
14667500.96,4523202.56,-6308.99,fracture
14667550.9,4523203.22,-6307.88,fracture
14667575.07,4523210.49,-6283.4,fracture
14667919.41,4523240.4,-6306.31,fracture
14669702.95,4523231.93,-6292.58,fracture
14670250.49,4523229.99,-6320.65,fracture
14667449.74,4523227.99,-6282.5,fracture
14667891.69,4523250.36,-6313.6,fracture
14669855.32,4523245.43,-6300.09,fracture
14667957.96,4523268.25,-6303.24,fracture
14668244.92,4523262.4,-6306.29,fracture
14665736.83,4523264.45,-6309.47,fracture
14667045.87,4523261.89,-6277.71,fracture
14667859.67,4523281.15,-6303.01,fracture
14667089.25,4523270.36,-6301.66,fracture
14667600.11,4523265.37,-6282.11,fracture
14667908.52,4523288.49,-6310.39,fracture
14668349.72,4523289.15,-6297.36,fracture
14668914.07,4523289.96,-6302.15,fracture
14668627.58,4523295.42,-6291.96,fracture
14665979.32,4523303.52,-6311.65,fracture
14667523.27,4523292.9,-6281.62,fracture
14670134.31,4523333.12,-6312,fracture
14665902.46,4523365.33,-6284.94,fracture
14668453.97,4523396.52,-6308.88,fracture
14670710.8,4523398.25,-6313.14,fracture
14668319.05,4523425.3,-6307.72,fracture
14668034.92,4523439.03,-6301.5,fracture
14667695.8,4523420.37,-6280.04,fracture
14667931.43,4523451.03,-6308.72,fracture
14669673.14,4523440.67,-6318.85,fracture
14668665.81,4523454.12,-6301.39,fracture
14667123.44,4523455.94,-6279.45,fracture
14667109.93,4523471.58,-6297,fracture
14666012.41,4523485.98,-6291.22,fracture
14666045.17,4523490.47,-6279.72,fracture
14669847.51,4523505.91,-6306.9,fracture
14667956.7,4523522.29,-6312.37,fracture
14666559.26,4523508.11,-6291.39,fracture
14668033.48,4523531.87,-6287.87,fracture
14668365.11,4523538.16,-6288.49,fracture
14668986.5,4523539.92,-6292.91,fracture
14667603.37,4523528.94,-6306.97,fracture
14667707.46,4523526.4,-6282.31,fracture
14668059.92,4523551.09,-6285.81,fracture
14668097,4523555.15,-6287.3,fracture
14668111.39,4523549.03,-6298.83,fracture
14667193.79,4523550.84,-6303.17,fracture
14668791.16,4523567.22,-6299.65,fracture
14669143.9,4523578.3,-6310.77,fracture
14665997.41,4523579.5,-6277.48,fracture
14667066.91,4523595.58,-6307.9,fracture
14668128.04,4523611.54,-6286.14,fracture
14669001.44,4523602.37,-6310.01,fracture
14669870.7,4523600.43,-6309.85,fracture
14667367.56,4523615.54,-6284.19,fracture
14667764.51,4523602.74,-6284.85,fracture
14667120.33,4523637.49,-6305,fracture
14669963.89,4523651.98,-6302.93,fracture
14669955.18,4523662.3,-6312.55,fracture
14667042.1,4523662.85,-6276.91,fracture
14668070.91,4523680.43,-6291.12,fracture
14668424.44,4523670.08,-6302.26,fracture
14668612.67,4523672.65,-6287.76,fracture
14667159.58,4523666.65,-6278.47,fracture
14668146.22,4523696.26,-6312.03,fracture
14668646.52,4523685.16,-6307.22,fracture
14665450.05,4523682.68,-6305,fracture
14665928.78,4523694.03,-6287.52,fracture
14666992.36,4523693.6,-6280.81,fracture
14668467.21,4523704.25,-6305.78,fracture
14667649.14,4523698.03,-6278.15,fracture
14667500.13,4523720.6,-6303.79,fracture
14667556.37,4523720.32,-6278.55,fracture
14668104.45,4523753.28,-6295.31,fracture
14669259.84,4523762.45,-6309.15,fracture
14670156,4523762.9,-6311.6,fracture
14669895.61,4523772.9,-6323.43,fracture
14665903.57,4523780.37,-6284.62,fracture
14666967.34,4523783.35,-6280.42,fracture
14668750.17,4523799.1,-6303.98,fracture
14668528.01,4523803.97,-6296.22,fracture
14670374.08,4523797.19,-6312.6,fracture
14668130.19,4523819.39,-6292.06,fracture
14668169.26,4523823.11,-6298.56,fracture
14666139.91,4523812.87,-6299.1,fracture
14667377.1,4523824.2,-6294.18,fracture
14669213.14,4523840.81,-6291.33,fracture
14668384.34,4523859.57,-6291.67,fracture
14669981.32,4523854.58,-6302.18,fracture
14666524.82,4523853.21,-6298.4,fracture
14666715.07,4523867.12,-6292.42,fracture
14668235.38,4523896.26,-6295.38,fracture
14667742.7,4523879.89,-6283.62,fracture
14665692.6,4523896.4,-6288.61,fracture
14667455.43,4523901.45,-6281.97,fracture
14667962.88,4523907.75,-6298.19,fracture
14667679.23,4523920.38,-6289.13,fracture
14666999.28,4523942.57,-6306.69,fracture
14668249.69,4523968.69,-6304.78,fracture
14667065.27,4523965.31,-6298.56,fracture
14667345.78,4523957.5,-6294.92,fracture
14667674.76,4523975.25,-6292.12,fracture
14668243.8,4524006.66,-6306.61,fracture
14668661.2,4523998.37,-6313.82,fracture
14669177.3,4523993.95,-6305.92,fracture
14668770.16,4524021.93,-6310.35,fracture
14667393.84,4524018.14,-6281.66,fracture
14668851.16,4524036.77,-6283.85,fracture
14667309.69,4524030.84,-6294.45,fracture
14667774.61,4524027.7,-6307.71,fracture
14667839.45,4524024.44,-6296.51,fracture
14668267.82,4524052.9,-6314.2,fracture
14668265.1,4524047.51,-6302.02,fracture
14668029.96,4524037.48,-6300.55,fracture
14668382.97,4524056.04,-6308.64,fracture
14667257.86,4524059.51,-6291.23,fracture
14667821.45,4524059.35,-6288.32,fracture
14668072.63,4524056.51,-6309.68,fracture
14668231.28,4524080.49,-6292.57,fracture
14669310.12,4524085.22,-6290,fracture
14666764.35,4524081.32,-6305.26,fracture
14669478.15,4524089.66,-6292.58,fracture
14666043.53,4524099.52,-6294.24,fracture
14667621.24,4524094.97,-6301.85,fracture
14668332.63,4524129.12,-6294.9,fracture
14669022.42,4524125.98,-6285.3,fracture
14665669.96,4524128.59,-6289.74,fracture
14666006.8,4524151.3,-6290.65,fracture
14667475.06,4524150.28,-6284.22,fracture
14667925.38,4524163.99,-6311.07,fracture
14667324.1,4524180.64,-6299.83,fracture
14668994.21,4524233.08,-6306.33,fracture
14669024.32,4524234.79,-6292.48,fracture
14668459.27,4524250.18,-6290.18,fracture
14668639.16,4524247.49,-6298.09,fracture
14669276.41,4524252.87,-6305.21,fracture
14668043.59,4524260.86,-6314.2,fracture
14667238.51,4524281.56,-6312.43,fracture
14668642.04,4524301.14,-6307.57,fracture
14668831.8,4524310.28,-6303.19,fracture
14668914.25,4524307.41,-6311.75,fracture
14668529.99,4524320.47,-6298.55,fracture
14668450.93,4524344.83,-6309.69,fracture
14668758.3,4524331.16,-6318.73,fracture
14666743.89,4524333.73,-6298.89,fracture
14667503.2,4524343.51,-6298.04,fracture
14668649.56,4524360.48,-6293.62,fracture
14668839.73,4524360.78,-6308.09,fracture
14669058.58,4524337.73,-6307.99,fracture
14667789.33,4524364.45,-6282.81,fracture
14667541.61,4524375.66,-6279.89,fracture
14667657.21,4524384.39,-6283.13,fracture
14667967.56,4524387.32,-6304.8,fracture
14666732.13,4524400.68,-6300.47,fracture
14667681.05,4524397.13,-6301.19,fracture
14665965.49,4524418.58,-6290.63,fracture
14665909.66,4524425.7,-6292.36,fracture
14666577.38,4524423.15,-6322.79,fracture
14666637.78,4524421.15,-6294.6,fracture
14668197.78,4524416.56,-6295.89,fracture
14668526.63,4524456.16,-6306.22,fracture
14668212.73,4524432.36,-6318.19,fracture
14668682.65,4524475.56,-6293.7,fracture
14668585.9,4524504.42,-6313.95,fracture
14668540.28,4524515.54,-6324.31,fracture
14667263.48,4524561.21,-6285.68,fracture
14668154.96,4524549.46,-6291.18,fracture
14667861.88,4524563.28,-6293.26,fracture
14668277,4524583.95,-6321.77,fracture
14667344.4,4524611.35,-6289.71,fracture
14668214.11,4524607.61,-6305.82,fracture
14667892.57,4524630.84,-6303.86,fracture
14668129.08,4524629.86,-6302.56,fracture
14667008.06,4524661.85,-6299.21,fracture
14666462.13,4524679.56,-6311.6,fracture
14667651.48,4524690.54,-6294.31,fracture
14668057.52,4524681.42,-6314.74,fracture
14668100.98,4524673.48,-6285.85,fracture
14667598.75,4524713.78,-6282.03,fracture
14667547.01,4524732.72,-6293.15,fracture
14667894.08,4524728.98,-6302.98,fracture
14667518.94,4524808.11,-6282.91,fracture
14666770.67,4524833,-6304.39,fracture
14667262.13,4524925.48,-6312.51,fracture
14666901.36,4525010.59,-6291.7,fracture
14666600.84,4525050.02,-6298.68,fracture
14668581.73,4521027.81,-6323.15,fracture
14668149.66,4521065.7,-6329.06,fracture
14667957.22,4521098.67,-6368.5,fracture
14669420.24,4521094.61,-6366.88,fracture
14668236.13,4521145.25,-6340.97,fracture
14669227.09,4521184.27,-6347.16,fracture
14667725.76,4521207.27,-6364.75,fracture
14668108.41,4521238.35,-6341.16,fracture
14668498.56,4521250.27,-6344.76,fracture
14667550.13,4521306.92,-6348.57,fracture
14667599.21,4521307.8,-6353.61,fracture
14668424.16,4521321.26,-6346.04,fracture
14668800.73,4521342.59,-6331.14,fracture
14667266.59,4521372.92,-6355.96,fracture
14669752.89,4521355.82,-6354.34,fracture
14667208.38,4521419.03,-6352.56,fracture
14667581.76,4521410.9,-6358.72,fracture
14669379.32,4521444.7,-6333.25,fracture
14668083.14,4521466.93,-6345.83,fracture
14666928.74,4521489.51,-6328.15,fracture
14667875.69,4521495.8,-6336.2,fracture
14667893.44,4521516.91,-6363.79,fracture
14667214.7,4521538.55,-6332.71,fracture
14667431.39,4521532.31,-6360.99,fracture
14668453.51,4521530.99,-6338.8,fracture
14668119.35,4521543.92,-6345.31,fracture
14669675.98,4521544.37,-6329.57,fracture
14666824.05,4521539.98,-6324.2,fracture
14667758.76,4521554.77,-6368.26,fracture
14667788.49,4521550.69,-6353.13,fracture
14667981.02,4521565.2,-6353.58,fracture
14668320.28,4521566.51,-6347.04,fracture
14667327.78,4521574.14,-6355.69,fracture
14668689.9,4521601.72,-6347.12,fracture
14666727.02,4521600.13,-6342.29,fracture
14666674.61,4521612.79,-6345.54,fracture
14667339.74,4521640.11,-6349.14,fracture
14666934.38,4521636.56,-6321.31,fracture
14668773.06,4521655.44,-6358.77,fracture
14667801.6,4521664.81,-6349.96,fracture
14668542.83,4521686.04,-6357.39,fracture
14667466.66,4521717.22,-6323.1,fracture
14667307.75,4521730.53,-6328.47,fracture
14667321.16,4521733.77,-6329.94,fracture
14667599.45,4521732.92,-6343.9,fracture
14666808.03,4521730.77,-6313.72,fracture
14666883.67,4521748.58,-6317.69,fracture
14667526.84,4521761.41,-6349.32,fracture
14667542.55,4521768.99,-6330.02,fracture
14666725.19,4521794.56,-6317.16,fracture
14666660.45,4521809.61,-6326.38,fracture
14666030.63,4521840.67,-6334.43,fracture
14666059.04,4521835.14,-6356.92,fracture
14669117.87,4521845.48,-6347.5,fracture
14666992.62,4521871.26,-6331.59,fracture
14666334.4,4521894.49,-6369.47,fracture
14667502.3,4521910.38,-6345.51,fracture
14667584.24,4521912.62,-6355.54,fracture
14666510.99,4521909.04,-6335.11,fracture
14668411.22,4521932.51,-6338.12,fracture
14666164.56,4521928.93,-6347.48,fracture
14667297.33,4521947.66,-6306.96,fracture
14667683.06,4521984.76,-6350.32,fracture
14668215.78,4522005.13,-6351.21,fracture
14668469.18,4522009.98,-6351.45,fracture
14667528.13,4522031.97,-6352.22,fracture
14667712.03,4522026.9,-6345.18,fracture
14667897.81,4522022.54,-6366.69,fracture
14667019.2,4522018.1,-6297.66,fracture
14665988.02,4522032.62,-6366.64,fracture
14666458.52,4522033.64,-6369.23,fracture
14666142.1,4522103.76,-6342.84,fracture
14667383.33,4522131.04,-6336.09,fracture
14668749.97,4522128.73,-6339.24,fracture
14665563.87,4522127.5,-6330.89,fracture
14667058.84,4522130.38,-6297.9,fracture
14665290.66,4522146.7,-6357.87,fracture
14667685.45,4522167.16,-6341.8,fracture
14669429.4,4522165.34,-6346.68,fracture
14666734.75,4522167.15,-6353.55,fracture
14668043.48,4522180.54,-6348.12,fracture
14666822.27,4522179.46,-6334.78,fracture
14669800.43,4522194.74,-6336.53,fracture
14667000.38,4522199.27,-6311.64,fracture
14667180.16,4522190.63,-6310.81,fracture
14667554.6,4522223.85,-6330.91,fracture
14666654.77,4522216.35,-6353.15,fracture
14667083.46,4522220.25,-6337.56,fracture
14666243.44,4522235.26,-6351.15,fracture
14666837.58,4522226.06,-6338.38,fracture
14667129.51,4522225.99,-6336.28,fracture
14666420.41,4522238.16,-6353.4,fracture
14666806.49,4522244.73,-6322.21,fracture
14667395.75,4522272.95,-6317.11,fracture
14666793.23,4522261.89,-6343.5,fracture
14668809.83,4522273.37,-6343.43,fracture
14667109.46,4522275.25,-6314.16,fracture
14667181.97,4522275.75,-6337.95,fracture
14667450.77,4522298.99,-6328.29,fracture
14666650.22,4522288.55,-6347.5,fracture
14666908.87,4522303.83,-6324.02,fracture
14667163.43,4522296.24,-6340.11,fracture
14667425.25,4522321.72,-6324.94,fracture
14667266.47,4522306.52,-6347.44,fracture
14667907.31,4522327.16,-6355.66,fracture
14666771.89,4522335.39,-6349.58,fracture
14666994.28,4522326.08,-6310.71,fracture
14668359.93,4522340.32,-6331.96,fracture
14666004.01,4522344.34,-6338.75,fracture
14667143.47,4522338.97,-6316.57,fracture
14668191.38,4522351.4,-6328.56,fracture
14668303.53,4522367.83,-6343.3,fracture
14667182.74,4522361.03,-6313.76,fracture
14667507.96,4522396.16,-6321.13,fracture
14667448.01,4522402.73,-6352.75,fracture
14667482.55,4522400.39,-6344.11,fracture
14667624.44,4522404.8,-6357.27,fracture
14668264.34,4522393.66,-6352.16,fracture
14669449.35,4522405.89,-6345.5,fracture
14666143.93,4522412.59,-6344.32,fracture
14666367.71,4522432.91,-6372.02,fracture
14666593.08,4522436.13,-6344.74,fracture
14667285.84,4522433.37,-6339.11,fracture
14667568.17,4522456.86,-6356.39,fracture
14668595.68,4522456.71,-6331.96,fracture
14667310.96,4522443.79,-6328.33,fracture
14667851.75,4522471.09,-6349.05,fracture
14667280.12,4522453.03,-6343.91,fracture
14666363.62,4522467.88,-6344.86,fracture
14667566.11,4522494.62,-6356.31,fracture
14668281.32,4522499.54,-6347.12,fracture
14670004.14,4522500.96,-6319.79,fracture
14667054.82,4522501.7,-6351.16,fracture
14668608.88,4522513.64,-6325.2,fracture
14667994.1,4522530.58,-6359.13,fracture
14666865.88,4522518.9,-6335.46,fracture
14665377.38,4522531.59,-6323.89,fracture
14668039.76,4522556.21,-6362.37,fracture
14665109.83,4522552.69,-6324.5,fracture
14666621.15,4522551.58,-6351.43,fracture
14666919.08,4522558.53,-6353.5,fracture
14665417.51,4522571.42,-6341.62,fracture
14667659.9,4522598.83,-6331.75,fracture
14668146.06,4522596.78,-6339.52,fracture
14668642.71,4522596.65,-6355.84,fracture
14666873.94,4522602.21,-6355.29,fracture
14669085.33,4522611.4,-6335.26,fracture
14668444.23,4522626.6,-6355.01,fracture
14666276.33,4522624.81,-6366.3,fracture
14667587.62,4522671.9,-6345.78,fracture
14668005.92,4522663.81,-6353.22,fracture
14665954.21,4522672.43,-6347.91,fracture
14668223.55,4522680.84,-6340.49,fracture
14667075.47,4522683.13,-6348.86,fracture
14667155.21,4522672.86,-6332.62,fracture
14667749.09,4522695.88,-6338.69,fracture
14667009.43,4522691.73,-6340.75,fracture
14669614.08,4522726.34,-6364.1,fracture
14668009.5,4522737.79,-6360.14,fracture
14665110.05,4522753.65,-6326.91,fracture
14666212.82,4522776.7,-6338.78,fracture
14666382.53,4522776.99,-6371.16,fracture
14666337.43,4522784.75,-6352.79,fracture
14667229.41,4522779.59,-6339.63,fracture
14668699.07,4522801.24,-6340.66,fracture
14668376.2,4522814.83,-6340.02,fracture
14668538.51,4522814.06,-6352.02,fracture
14668620.55,4522847.61,-6356.56,fracture
14667649.15,4522865.34,-6344.7,fracture
14667791.71,4522856.29,-6348.53,fracture
14668800.85,4522864.05,-6352.1,fracture
14665736.9,4522858.26,-6364.83,fracture
14667478.99,4522870.64,-6330.44,fracture
14667163.43,4522877.29,-6335.84,fracture
14667851.35,4522896.01,-6330.22,fracture
14667218.38,4522887.64,-6317.58,fracture
14667437.02,4522880.66,-6349.98,fracture
14667489.96,4522902.36,-6349.37,fracture
14668018.39,4522925.03,-6356.91,fracture
14668080.26,4522931.57,-6349.8,fracture
14667726.34,4522959.29,-6318.32,fracture
14669802.46,4522956.73,-6352.76,fracture
14667789.17,4522976.75,-6353.04,fracture
14667792.4,4522993.5,-6349.33,fracture
14668459.5,4522984.05,-6343.1,fracture
14667452.92,4522968.83,-6327.57,fracture
14668927.98,4522991.97,-6342.41,fracture
14669517.1,4522987.82,-6344.67,fracture
14667253.29,4522990.98,-6335.54,fracture
14668621.5,4523010.36,-6357.28,fracture
14667876.88,4523036.33,-6328.53,fracture
14666625.66,4523037.45,-6347.02,fracture
14667511.89,4523019.27,-6325.36,fracture
14667728.44,4523051.89,-6332.08,fracture
14667033.48,4523041.68,-6328.11,fracture
14667538.17,4523030.54,-6344.14,fracture
14667720.67,4523059.54,-6318.52,fracture
14667520.26,4523040.69,-6349.36,fracture
14667822.56,4523067.92,-6337.41,fracture
14665570.64,4523066.28,-6326.57,fracture
